mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,chroma_mean,chroma_var,spectral_rolloff_mean,spectral_centroid_mean,spectral_centroid_std,rms_energy_mean,rms_energy_std,zero_crossing_mean,zero_crossing_std,tonnetz_mean,user,file,augmentation
-629.87537,155.73631,53.815235,83.85961,26.036886,40.03591,19.206293,46.223618,-4.566833,14.737056,-2.3075647,13.512855,-0.73692197,17.33751,-5.989339,19.270039,-7.003322,14.404903,-5.032202,13.345287,-3.5727785,10.388039,-1.3980099,8.099113,-4.805996,9.3755865,0.21524492,0.097891,3402.874228395062,2604.2518304509085,2245.7866456326915,0.008747597,0.013074934,0.2830946180555556,0.26412411294981764,-0.005570874108391857,lesly,aug_time_stretch_lesly_yes_approve.wav,time_stretch
-552.85645,174.35872,59.521606,97.115875,15.171028,36.710144,28.006046,37.298096,6.8973284,31.353294,-6.803777,21.28259,-7.442428,20.80472,-2.1737044,18.584408,-11.561713,20.00278,-0.19226411,13.429964,-2.7460003,9.082983,-6.013777,12.499098,-6.7554584,10.139456,0.33113512,0.10481059,3223.7654320987654,2109.2060574727043,1906.5971750802487,0.014856029,0.015688233,0.12284794560185185,0.15594138815059252,-0.008242073946496927,lesly,lesly_confirm_transaction.wav,original
-574.61914,179.58994,55.278965,84.063225,23.061954,39.1949,22.744484,36.54342,-0.8007751,26.70978,-10.810858,19.908503,-6.15474,25.429058,-5.49722,15.368711,-8.411725,19.838003,3.4492116,10.698934,-8.922181,14.416771,-6.8454604,12.151757,-4.4086423,12.192249,0.31216845,0.10882841,3609.0856481481483,2275.8364541244587,2002.4481676687406,0.009010714,0.009867181,0.12852647569444445,0.17032784070889181,0.016854944968612402,lesly,aug_pitch_shift_lesly_confirm_transaction.wav,pitch_shift
-589.8915,162.20352,51.27217,94.33946,22.236326,40.312145,25.699726,36.066757,6.9766755,29.00458,-5.621695,21.001644,-8.761212,24.472836,-1.3347006,19.448984,-11.132748,23.881872,0.07608716,12.764621,-3.781095,11.403643,-6.347707,14.647512,-7.823455,11.591215,0.30407864,0.10186044,3429.7648514851485,2256.7402950767305,2037.0113382323748,0.009773228,0.010314072,0.14766398514851486,0.20448933098055908,-0.005682084565509064,lesly,aug_time_stretch_lesly_confirm_transaction.wav,time_stretch
-620.5552,121.769615,28.130342,83.75808,4.225972,36.73894,3.6672645,30.373741,0.3578325,15.241136,1.7925457,21.932665,-3.925983,20.459936,-3.2390704,12.139691,-3.6863751,11.7007265,-3.0445645,9.743479,-4.692103,11.10392,-0.31581485,7.276258,-3.6896274,7.932934,0.30659875,0.10891674,3640.4447115384614,2686.8064975493367,2044.7352131762907,0.009837349,0.020008275,0.206201171875,0.22487646159307395,0.0013135925030784358,nicholas,nicholas_yes_approve.wav,original
-648.36993,130.4031,31.030277,82.82335,5.7218676,37.35168,0.8827341,32.806072,-0.5115273,17.993797,-2.8217695,18.434935,-7.036335,17.709867,-3.9068608,18.1253,-4.151682,11.532904,-4.578717,11.169013,-2.9880164,7.0619907,-2.6189034,7.621681,-2.963065,8.390405,0.29527628,0.106006175,3867.8485576923076,2872.3192284359293,2148.740190489121,0.0070558996,0.013685363,0.23063025841346155,0.24895552097263413,0.02610786185882582,nicholas,aug_pitch_shift_nicholas_yes_approve.wav,pitch_shift
-633.60443,110.41059,28.434938,79.127975,7.0957875,34.411285,2.7372656,32.929913,-0.6620117,14.514436,1.1165732,21.87918,-5.6529994,21.861935,-3.45251,13.102667,-4.7591076,12.083988,-3.857452,9.900379,-3.927176,10.374144,-1.4313608,6.034655,-3.8067477,7.904452,0.28028977,0.105869666,3473.4278549382716,2672.23204614852,2256.14401286741,0.0067795375,0.014437946,0.2053855613425926,0.2557992697313207,-0.010010779009294682,nicholas,aug_time_stretch_nicholas_yes_approve.wav,time_stretch
-588.4917,133.65489,38.023266,89.15275,8.105666,33.787186,1.4316435,36.888493,-4.1313787,18.689774,1.0402342,14.698613,-4.528547,14.811395,-3.4182017,9.804478,-4.1999288,8.714653,-2.744092,10.976011,-7.2714615,14.524999,-1.7055058,8.320477,-6.536258,12.24665,0.3458037,0.11618257,3238.480839416058,2316.6690600214415,2186.8717405843004,0.013049418,0.02239486,0.1456076072080292,0.20132266229665952,0.005385725342111236,nicholas,nicholas_confirm_transaction.wav,original
-615.4613,147.81201,38.12215,81.19866,8.993859,28.405243,-3.392824,41.889458,-4.611382,13.734479,-1.1030129,14.364703,-4.7023196,15.9169,-5.1870136,12.681424,-4.993181,11.150585,-6.78986,14.258278,-5.63125,12.490987,-3.586597,9.991341,-5.1729774,10.688441,0.3141493,0.10793096,3158.53102189781,2330.4240293541898,2240.4776942832727,0.008172074,0.0136061665,0.12120423699817519,0.1940515598149583,0.0079240204374054,nicholas,aug_pitch_shift_nicholas_confirm_transaction.wav,pitch_shift
-640.30994,141.07924,39.400307,86.09136,11.102568,34.21884,1.1969372,42.703255,-5.817936,20.079859,0.32414237,17.82147,-5.02162,16.354372,-3.5776029,11.620289,-5.58642,10.953597,-3.3646104,10.55149,-8.084662,17.015549,-2.571469,9.620453,-6.274822,13.178587,0.31289494,0.10971013,3197.8252923976606,2337.198512864262,2094.6653157280284,0.0070474525,0.011906868,0.1150687591374269,0.18128869703626205,0.0058213989419190265,nicholas,aug_time_stretch_nicholas_confirm_transaction.wav,time_stretch
-480.2615,168.03941,114.268005,118.38222,18.716045,51.371212,-3.5844448,32.715652,-9.814791,30.261871,12.513342,26.35205,-4.296472,21.3215,-3.0331879,20.323812,-8.096924,12.14985,-0.0023510226,18.292387,-5.5714107,8.697063,-6.155938,13.064313,-6.367814,11.163768,0.42349365,0.097514324,1532.258064516129,914.4293073046526,1034.9485985486358,0.027277417,0.023105778,0.0849215599798387,0.09371181647250738,-0.0058745136344234925,joel,joel_confirm_transaction.wav,original
-484.42532,166.97305,108.966125,106.87447,19.613804,37.22038,-13.581608,40.523933,-5.913096,31.157337,9.365822,16.980427,-10.307125,25.833927,-7.01753,18.084637,-7.314311,17.449501,-1.1566471,18.176527,-12.104171,14.336093,-4.926221,9.037161,-7.6324224,13.971775,0.36891967,0.09721084,2025.327620967742,1082.761460007095,1018.3632411738758,0.01881211,0.016377699,0.1044528099798387,0.10294685146920282,0.0018659442111873931,joel,aug_pitch_shift_joel_confirm_transaction.wav,pitch_shift
-529.44214,171.44556,110.44679,113.16825,24.136871,47.80191,-5.2977676,42.41217,-11.986138,31.549747,11.768171,28.751476,-6.5486016,25.212435,-2.9655695,24.301598,-9.8895035,15.218128,0.78141254,22.987478,-7.171124,8.409089,-5.9867687,15.774019,-6.7092447,12.447078,0.36463302,0.09965418,2040.965544871795,1119.9193088566,1097.0059132121473,0.015840692,0.013888982,0.10121819911858974,0.10882050832560893,-0.0052313593043587635,joel,aug_time_stretch_joel_confirm_transaction.wav,time_stretch
-460.26172,150.62007,110.88008,104.859566,23.402996,54.600334,12.1254835,41.04191,-6.7051086,23.322746,12.623278,25.003826,-4.0164266,24.635532,-6.038015,19.119848,-4.5032096,11.148106,-8.300761,14.155916,-6.311833,18.56063,-5.8004556,10.431762,-3.6859736,6.699399,0.3398762,0.10287276,2258.184523809524,1444.4883207528812,1195.3520317389623,0.03759778,0.0346995,0.14299665178571427,0.11622942835888472,-0.006965249715730752,joel,joel_yes_approve.wav,original
-473.01154,160.70522,118.66055,95.69598,18.262018,47.352474,2.019026,47.063145,-6.6405406,30.295633,8.222746,22.725641,-12.75696,26.55949,-4.084763,14.02008,-7.3022084,10.7744665,-8.509607,25.210232,-7.650177,16.079243,-4.428918,7.9400425,-3.2924812,9.761007,0.31472757,0.09939516,2314.7321428571427,1456.7689726617525,1185.2149155137113,0.024691258,0.020540776,0.15914481026785715,0.12823068833642884,-0.002967226190161886,joel,aug_pitch_shift_joel_yes_approve.wav,pitch_shift
-491.70294,146.96107,109.55173,100.33071,26.326693,48.564014,8.829018,45.05826,-7.088412,31.181126,9.395268,27.2859,-6.4653873,25.182577,-5.8790803,20.647406,-5.874134,12.52723,-8.396114,17.593477,-7.993908,19.499393,-5.4867716,13.724261,-3.842779,7.0868554,0.32007837,0.09978699,2142.3938679245284,1440.6558145871932,1212.518295972018,0.024860898,0.023113575,0.1340930866745283,0.11884087648691476,-0.005267410143938123,joel,aug_time_stretch_joel_yes_approve.wav,time_stretch
